country,gender,steps_gini,N,percentile,steps_mean
Australia,female,0.303666489195,6479,P 25,2567.20722124
Australia,male,0.303666489195,6858,P 25,3746.19538648
Belgium,female,0.276202984377,542,P 25,2930.25668163
Belgium,male,0.276202984377,881,P 25,3578.95252282
Brazil,female,0.271752460714,453,P 25,2436.01086953
Brazil,male,0.271752460714,1127,P 25,3059.8460775
Canada,female,0.302882057113,7250,P 25,2622.95362929
Canada,male,0.302882057113,7022,P 25,3572.91570937
Chile,female,0.262557952563,152,P 25,3415.97473739
Chile,male,0.262557952563,270,P 25,3792.16653909
China,female,0.245276977084,4769,P 25,4314.10949539
China,male,0.245276977084,7553,P 25,4794.13898256
Czech Republic,female,0.248327636344,286,P 25,3563.35612588
Czech Republic,male,0.248327636344,708,P 25,3945.67725584
Denmark,female,0.262296787052,750,P 25,3210.98129357
Denmark,male,0.262296787052,1000,P 25,3999.907137
Egypt,female,0.302671471638,113,P 25,2417.2231698
Egypt,male,0.302671471638,290,P 25,2510.1118293
Finland,female,0.26600428249,381,P 25,3434.13333333
Finland,male,0.26600428249,388,P 25,3759.82145539
France,female,0.268304371682,1384,P 25,3201.41760373
France,male,0.268304371682,2833,P 25,3600.0390625
Germany,female,0.266173925835,1775,P 25,3165.15536226
Germany,male,0.266173925835,4740,P 25,3669.1610195
Greece,female,0.29530806466,158,P 25,2478.61522624
Greece,male,0.29530806466,455,P 25,2809.01695038
Hong Kong,female,0.222368351342,789,P 25,4721.55555556
Hong Kong,male,0.222368351342,1288,P 25,5288.3749228
Hungary,female,0.273013864871,175,P 25,3283.7551123
Hungary,male,0.273013864871,357,P 25,3675.23016016
India,female,0.293392938737,1086,P 25,2245.38294178
India,male,0.293392938737,4092,P 25,2992.31629453
Indonesia,female,0.282560531501,368,P 25,2140.87749377
Indonesia,male,0.282560531501,760,P 25,2475.7208212
Ireland,female,0.284902871533,709,P 25,3167.81809513
Ireland,male,0.284902871533,718,P 25,3790.57875849
Israel,female,0.272008715992,247,P 25,3154.19653153
Israel,male,0.272008715992,458,P 25,3642.86160692
Italy,female,0.274525749704,801,P 25,3369.11564159
Italy,male,0.274525749704,1724,P 25,3792.80536647
Japan,female,0.248464033659,2090,P 25,3549.65426045
Japan,male,0.248464033659,6696,P 25,4435.27489217
Malaysia,female,0.287591441193,814,P 25,2081.22904222
Malaysia,male,0.287591441193,937,P 25,3232.87457858
Mexico,female,0.279211876592,806,P 25,2511.67730815
Mexico,male,0.279211876592,1497,P 25,3482.34527283
Netherlands,female,0.26102476698,1171,P 25,3087.6021534
Netherlands,male,0.26102476698,2092,P 25,3729.93235348
New Zealand,female,0.301304157329,727,P 25,2578.96596853
New Zealand,male,0.301304157329,706,P 25,3216.33324919
Norway,female,0.251679193792,967,P 25,3406.51984813
Norway,male,0.251679193792,1061,P 25,3840.31473215
Philippines,female,0.297646161697,513,P 25,2079.99646737
Philippines,male,0.297646161697,550,P 25,2835.17931782
Poland,female,0.268998027933,370,P 25,3319.20019609
Poland,male,0.268998027933,643,P 25,3905.804125
Portugal,female,0.275988506338,234,P 25,2817.46223961
Portugal,male,0.275988506338,431,P 25,3340.95101299
Qatar,female,0.291161935165,148,P 25,1929.0755422
Qatar,male,0.291161935165,370,P 25,3250.69046224
Romania,female,0.283230620795,214,P 25,2634.82434707
Romania,male,0.283230620795,380,P 25,3367.64960532
Russia,female,0.262398515352,1385,P 25,3867.29190909
Russia,male,0.262398515352,2071,P 25,4144.66173415
Saudi Arabia,female,0.324758589134,626,P 25,1623.63023692
Saudi Arabia,male,0.324758589134,1153,P 25,3029.32296489
Singapore,female,0.248778920976,947,P 25,3607.20806296
Singapore,male,0.248778920976,1567,P 25,4379.66099148
South Africa,female,0.283630686406,479,P 25,2162.15902586
South Africa,male,0.283630686406,900,P 25,3211.63734431
South Korea,female,0.246801637903,621,P 25,3688.96969697
South Korea,male,0.246801637903,1235,P 25,4165.86883584
Spain,female,0.261357216967,1027,P 25,3819.33120202
Spain,male,0.261357216967,2496,P 25,4280.44413776
Sweden,female,0.246041421981,1202,P 25,4105.1083852
Sweden,male,0.246041421981,1309,P 25,4266.49771049
Switzerland,female,0.262898824692,444,P 25,3553.4788676
Switzerland,male,0.262898824692,820,P 25,4082.96359229
Taiwan,female,0.261750833362,540,P 25,3170.0514504
Taiwan,male,0.261750833362,987,P 25,3669.20880059
Thailand,female,0.27237319525,604,P 25,2868.58073837
Thailand,male,0.27237319525,1026,P 25,3696.2307345
Turkey,female,0.264023075087,1000,P 25,3275.18273293
Turkey,male,0.264023075087,1197,P 25,3667.11712366
Ukraine,female,0.252172344415,388,P 25,3847.7284674
Ukraine,male,0.252172344415,507,P 25,4301.59118973
United Arab Emirates,female,0.280711279518,673,P 25,2400.11208735
United Arab Emirates,male,0.280711279518,1315,P 25,3425.63715201
United Kingdom,female,0.288125107668,12508,P 25,3081.31431885
United Kingdom,male,0.288125107668,15144,P 25,3967.49434654
United States,female,0.302526824712,98971,P 25,2514.05846154
United States,male,0.302526824712,94707,P 25,3670.28064183
Australia,female,0.303666489195,6479,P 50,3905.82876884
Australia,male,0.303666489195,6858,P 50,5370.112
Belgium,female,0.276202984377,542,P 50,4355.86915599
Belgium,male,0.276202984377,881,P 50,4856.31934541
Brazil,female,0.271752460714,453,P 50,3463.35064623
Brazil,male,0.271752460714,1127,P 50,4270.37411708
Canada,female,0.302882057113,7250,P 50,3938.68991855
Canada,male,0.302882057113,7022,P 50,5110.18650335
Chile,female,0.262557952563,152,P 50,4650.80601494
Chile,male,0.262557952563,270,P 50,5256.69186493
China,female,0.245276977084,4769,P 50,5855.12307303
China,male,0.245276977084,7553,P 50,6445.20002298
Czech Republic,female,0.248327636344,286,P 50,4885.86630139
Czech Republic,male,0.248327636344,708,P 50,5337.1077847
Denmark,female,0.262296787052,750,P 50,4558.02444031
Denmark,male,0.262296787052,1000,P 50,5433.83339844
Egypt,female,0.302671471638,113,P 50,3824.31723982
Egypt,male,0.302671471638,290,P 50,3931.95380785
Finland,female,0.26600428249,381,P 50,4942.86573419
Finland,male,0.26600428249,388,P 50,5231.15372227
France,female,0.268304371682,1384,P 50,4594.06534332
France,male,0.268304371682,2833,P 50,5025.75
Germany,female,0.266173925835,1775,P 50,4481.85
Germany,male,0.266173925835,4740,P 50,5118.88817449
Greece,female,0.29530806466,158,P 50,3722.2264143
Greece,male,0.29530806466,455,P 50,4091.6446535
Hong Kong,female,0.222368351342,789,P 50,6282.93133138
Hong Kong,male,0.222368351342,1288,P 50,7014.17612132
Hungary,female,0.273013864871,175,P 50,4663.43845386
Hungary,male,0.273013864871,357,P 50,5114.38130855
India,female,0.293392938737,1086,P 50,3380.1574706
India,male,0.293392938737,4092,P 50,4317.81478141
Indonesia,female,0.282560531501,368,P 50,3049.73791535
Indonesia,male,0.282560531501,760,P 50,3623.93790988
Ireland,female,0.284902871533,709,P 50,4699.16596476
Ireland,male,0.284902871533,718,P 50,5463.98350367
Israel,female,0.272008715992,247,P 50,4276.04353579
Israel,male,0.272008715992,458,P 50,5068.55700146
Italy,female,0.274525749704,801,P 50,4870.54357777
Italy,male,0.274525749704,1724,P 50,5161.91161807
Japan,female,0.248464033659,2090,P 50,5251.48739447
Japan,male,0.248464033659,6696,P 50,6042.94291755
Malaysia,female,0.287591441193,814,P 50,2992.65175584
Malaysia,male,0.287591441193,937,P 50,4455.50518513
Mexico,female,0.279211876592,806,P 50,3666.04756547
Mexico,male,0.279211876592,1497,P 50,4880.43461631
Netherlands,female,0.26102476698,1171,P 50,4300.25
Netherlands,male,0.26102476698,2092,P 50,5135.85607884
New Zealand,female,0.301304157329,727,P 50,3796.62644036
New Zealand,male,0.301304157329,706,P 50,4714.07564832
Norway,female,0.251679193792,967,P 50,4909.78275746
Norway,male,0.251679193792,1061,P 50,5250.67519047
Philippines,female,0.297646161697,513,P 50,3290.15160213
Philippines,male,0.297646161697,550,P 50,4301.53191057
Poland,female,0.268998027933,370,P 50,4607.92778294
Poland,male,0.268998027933,643,P 50,5339.72727273
Portugal,female,0.275988506338,234,P 50,4061.13762421
Portugal,male,0.275988506338,431,P 50,4622.13161918
Qatar,female,0.291161935165,148,P 50,2756.94740178
Qatar,male,0.291161935165,370,P 50,4529.59155828
Romania,female,0.283230620795,214,P 50,3829.36741167
Romania,male,0.283230620795,380,P 50,4816.21246733
Russia,female,0.262398515352,1385,P 50,5657.27272727
Russia,male,0.262398515352,2071,P 50,5825.14757219
Saudi Arabia,female,0.324758589134,626,P 50,2527.44713434
Saudi Arabia,male,0.324758589134,1153,P 50,4264.14285714
Singapore,female,0.248778920976,947,P 50,5020.58302854
Singapore,male,0.248778920976,1567,P 50,5878.47916667
South Africa,female,0.283630686406,479,P 50,3092.86398979
South Africa,male,0.283630686406,900,P 50,4420.48455599
South Korea,female,0.246801637903,621,P 50,5177.96296296
South Korea,male,0.246801637903,1235,P 50,5903.7066105
Spain,female,0.261357216967,1027,P 50,5208.375
Spain,male,0.261357216967,2496,P 50,5884.22172355
Sweden,female,0.246041421981,1202,P 50,5681.84542068
Sweden,male,0.246041421981,1309,P 50,5817.91969994
Switzerland,female,0.262898824692,444,P 50,4802.36591023
Switzerland,male,0.262898824692,820,P 50,5613.54492628
Taiwan,female,0.261750833362,540,P 50,4436.26910569
Taiwan,male,0.261750833362,987,P 50,5081.78147898
Thailand,female,0.27237319525,604,P 50,3998.97695162
Thailand,male,0.27237319525,1026,P 50,5132.5342708
Turkey,female,0.264023075087,1000,P 50,4581.82323366
Turkey,male,0.264023075087,1197,P 50,5127.74590164
Ukraine,female,0.252172344415,388,P 50,5609.56464706
Ukraine,male,0.252172344415,507,P 50,5877.45998223
United Arab Emirates,female,0.280711279518,673,P 50,3255.19387289
United Arab Emirates,male,0.280711279518,1315,P 50,4827.98902143
United Kingdom,female,0.288125107668,12508,P 50,4599.76544448
United Kingdom,male,0.288125107668,15144,P 50,5645.1384835
United States,female,0.302526824712,98971,P 50,3790.47782096
United States,male,0.302526824712,94707,P 50,5196.33105469
Australia,female,0.303666489195,6479,P 75,5530.30637507
Australia,male,0.303666489195,6858,P 75,7253.31597635
Belgium,female,0.276202984377,542,P 75,5850.29699017
Belgium,male,0.276202984377,881,P 75,6564.47922965
Brazil,female,0.271752460714,453,P 75,4758.69190061
Brazil,male,0.271752460714,1127,P 75,5737.74099897
Canada,female,0.302882057113,7250,P 75,5570.16006683
Canada,male,0.302882057113,7022,P 75,7056.46492132
Chile,female,0.262557952563,152,P 75,5861.70220068
Chile,male,0.262557952563,270,P 75,6948.46705565
China,female,0.245276977084,4769,P 75,7540.69426019
China,male,0.245276977084,7553,P 75,8293.70513926
Czech Republic,female,0.248327636344,286,P 75,6507.53609144
Czech Republic,male,0.248327636344,708,P 75,7025.94872825
Denmark,female,0.262296787052,750,P 75,6138.86037382
Denmark,male,0.262296787052,1000,P 75,7103.888348
Egypt,female,0.302671471638,113,P 75,4704.86739205
Egypt,male,0.302671471638,290,P 75,5790.67310436
Finland,female,0.26600428249,381,P 75,6296.43984686
Finland,male,0.26600428249,388,P 75,6848.23421306
France,female,0.268304371682,1384,P 75,6204.28532519
France,male,0.268304371682,2833,P 75,6798.63157895
Germany,female,0.266173925835,1775,P 75,6227.37453149
Germany,male,0.266173925835,4740,P 75,6847.06906423
Greece,female,0.29530806466,158,P 75,4836.58543284
Greece,male,0.29530806466,455,P 75,5731.87922299
Hong Kong,female,0.222368351342,789,P 75,7829.94354469
Hong Kong,male,0.222368351342,1288,P 75,8798.19621115
Hungary,female,0.273013864871,175,P 75,6220.52284694
Hungary,male,0.273013864871,357,P 75,6864.48035007
India,female,0.293392938737,1086,P 75,4834.70734908
India,male,0.293392938737,4092,P 75,5876.28311767
Indonesia,female,0.282560531501,368,P 75,4026.47583906
Indonesia,male,0.282560531501,760,P 75,4961.34900991
Ireland,female,0.284902871533,709,P 75,6253.08237458
Ireland,male,0.284902871533,718,P 75,7192.21299628
Israel,female,0.272008715992,247,P 75,5485.5096368
Israel,male,0.272008715992,458,P 75,6732.83677596
Italy,female,0.274525749704,801,P 75,6305.54823348
Italy,male,0.274525749704,1724,P 75,6956.02609293
Japan,female,0.248464033659,2090,P 75,6878.64463437
Japan,male,0.248464033659,6696,P 75,7764.82120248
Malaysia,female,0.287591441193,814,P 75,3976.75958674
Malaysia,male,0.287591441193,937,P 75,5811.81967213
Mexico,female,0.279211876592,806,P 75,5130.19301358
Mexico,male,0.279211876592,1497,P 75,6345.0625
Netherlands,female,0.26102476698,1171,P 75,5695.41797079
Netherlands,male,0.26102476698,2092,P 75,6850.29515232
New Zealand,female,0.301304157329,727,P 75,5424.39565988
New Zealand,male,0.301304157329,706,P 75,6600.92994082
Norway,female,0.251679193792,967,P 75,6381.49865127
Norway,male,0.251679193792,1061,P 75,6875.91666667
Philippines,female,0.297646161697,513,P 75,4671.69915217
Philippines,male,0.297646161697,550,P 75,5858.49587264
Poland,female,0.268998027933,370,P 75,6093.73670365
Poland,male,0.268998027933,643,P 75,7007.44762728
Portugal,female,0.275988506338,234,P 75,5620.00494924
Portugal,male,0.275988506338,431,P 75,6229.83030504
Qatar,female,0.291161935165,148,P 75,3794.31788372
Qatar,male,0.291161935165,370,P 75,6048.25160313
Romania,female,0.283230620795,214,P 75,5655.95312112
Romania,male,0.283230620795,380,P 75,6442.66542746
Russia,female,0.262398515352,1385,P 75,7299.24281192
Russia,male,0.262398515352,2071,P 75,7850.41454274
Saudi Arabia,female,0.324758589134,626,P 75,3834.56293316
Saudi Arabia,male,0.324758589134,1153,P 75,5707.90909091
Singapore,female,0.248778920976,947,P 75,6683.72208977
Singapore,male,0.248778920976,1567,P 75,7548.38401157
South Africa,female,0.283630686406,479,P 75,4281.28458219
South Africa,male,0.283630686406,900,P 75,5920.56611876
South Korea,female,0.246801637903,621,P 75,6887.40357152
South Korea,male,0.246801637903,1235,P 75,7506.31319859
Spain,female,0.261357216967,1027,P 75,6995.75430313
Spain,male,0.261357216967,2496,P 75,7781.85212431
Sweden,female,0.246041421981,1202,P 75,7232.14243199
Sweden,male,0.246041421981,1309,P 75,7609.42469401
Switzerland,female,0.262898824692,444,P 75,6427.27254236
Switzerland,male,0.262898824692,820,P 75,7418.56079901
Taiwan,female,0.261750833362,540,P 75,5696.54695066
Taiwan,male,0.261750833362,987,P 75,6670.92265258
Thailand,female,0.27237319525,604,P 75,5487.29797366
Thailand,male,0.27237319525,1026,P 75,6755.78084195
Turkey,female,0.264023075087,1000,P 75,6007.53071409
Turkey,male,0.264023075087,1197,P 75,6638.38286336
Ukraine,female,0.252172344415,388,P 75,7505.62688876
Ukraine,male,0.252172344415,507,P 75,7579.50637857
United Arab Emirates,female,0.280711279518,673,P 75,4569.50322561
United Arab Emirates,male,0.280711279518,1315,P 75,6421.0617309
United Kingdom,female,0.288125107668,12508,P 75,6345.87454779
United Kingdom,male,0.288125107668,15144,P 75,7637.83468989
United States,female,0.302526824712,98971,P 75,5376.66944367
United States,male,0.302526824712,94707,P 75,7057.78808605
